acid,mass,volume,hydrophobicity,number_of_atoms
A,71.0779,88.6,1.8,13
R,156.1857,173.4,-4.5,26
N,114.1026,114.1,-3.5,17
D,115.0874,111.1,-3.5,16
B,,,,
C,103.1429,108.5,2.5,14
E,129.114,138.4,-3.5,19
Q,128.1292,143.8,-3.5,20
Z,,,,
G,57.0513,60.1,-0.4,10
H,137.1393,153.2,-3.2,20
I,113.1576,166.7,4.5,22
L,113.1576,166.7,3.8,22
K,128.1723,168.6,-3.9,24
M,131.1961,162.9,1.9,20
F,147.1739,189.9,2.8,23
P,97.1152,112.7,-1.6,17
S,87.0773,89.0,-0.8,14
T,101.1039,116.1,-0.7,17
U,150.0379,,,
W,186.2099,227.8,-0.9,27
Y,163.1733,193.6,-1.3,24
X,,,,
V,99.1311,140.0,4.2,19